epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,411.71,0.89104,1.96739,1.30325,0.51092,0.48307,0.36616,0.30801,0.55341,1.03503,1.04241,0.00333139,0.00333139,0.00333139
2,816.254,0.72114,1.15574,1.14489,0.51022,0.50159,0.40269,0.32924,0.60169,1.01074,1.07898,0.00653277,0.00653277,0.00653277
3,1223.29,0.79923,1.17959,1.19302,0.54182,0.45544,0.37206,0.29097,0.68439,1.05948,1.15398,0.00960214,0.00960214,0.00960214
4,1627.76,0.85486,1.20118,1.22616,0.46584,0.49323,0.40527,0.32522,0.64864,0.98138,1.10906,0.009406,0.009406,0.009406
5,2028.71,0.80655,1.12858,1.18961,0.49953,0.50874,0.41257,0.33838,0.60139,0.95001,1.07562,0.009208,0.009208,0.009208
6,2418.04,0.76774,1.0728,1.1697,0.53239,0.53175,0.44176,0.36722,0.56271,0.87692,1.04569,0.00901,0.00901,0.00901
7,2813.35,0.73393,1.03009,1.14953,0.62852,0.47002,0.47636,0.39585,0.5332,0.87674,1.03233,0.008812,0.008812,0.008812
8,3206,0.70527,0.98556,1.13328,0.59914,0.50668,0.48812,0.41388,0.51388,0.82689,1.01844,0.008614,0.008614,0.008614
9,3606.17,0.68534,0.96484,1.12155,0.65653,0.50716,0.5164,0.44366,0.50306,0.79692,1.00469,0.008416,0.008416,0.008416
10,4010.74,0.67178,0.93556,1.11294,0.61235,0.54129,0.51325,0.44225,0.49466,0.78177,0.99461,0.008218,0.008218,0.008218
11,4407.39,0.64899,0.90796,1.1004,0.67952,0.51693,0.51497,0.44113,0.47835,0.76748,0.98947,0.00802,0.00802,0.00802
12,4795.48,0.63642,0.88942,1.09334,0.6929,0.54316,0.55836,0.48533,0.46245,0.7345,0.98346,0.007822,0.007822,0.007822
13,5190.88,0.62811,0.87097,1.08632,0.68077,0.55336,0.56567,0.49332,0.45818,0.72867,0.97302,0.007624,0.007624,0.007624
14,5583,0.61379,0.85874,1.07582,0.72193,0.54456,0.56456,0.49103,0.44765,0.7167,0.96966,0.007426,0.007426,0.007426
15,5975.19,0.60279,0.83785,1.07128,0.65987,0.57042,0.58324,0.5085,0.43764,0.7155,0.96744,0.007228,0.007228,0.007228
16,6377.99,0.59933,0.83381,1.06977,0.71959,0.54269,0.57866,0.50839,0.432,0.68801,0.95934,0.00703,0.00703,0.00703
17,6774.79,0.58488,0.81336,1.0603,0.71922,0.55263,0.58092,0.50993,0.4284,0.69172,0.96148,0.006832,0.006832,0.006832
18,7165.56,0.57926,0.80833,1.05879,0.72274,0.55768,0.59327,0.5237,0.4189,0.68486,0.94746,0.006634,0.006634,0.006634
19,7549.46,0.5703,0.79646,1.05561,0.62552,0.65936,0.60046,0.53177,0.41771,0.66542,0.95149,0.006436,0.006436,0.006436
20,7932.22,0.56233,0.77977,1.05119,0.66828,0.5566,0.59453,0.52756,0.40639,0.66011,0.94409,0.006238,0.006238,0.006238
21,8314.76,0.55167,0.76244,1.04113,0.6737,0.60507,0.60527,0.5404,0.40519,0.65631,0.94705,0.00604,0.00604,0.00604
22,8697.62,0.54674,0.76784,1.03888,0.73301,0.56834,0.60874,0.544,0.40082,0.64477,0.94086,0.005842,0.005842,0.005842
23,9080.41,0.53842,0.74794,1.03344,0.72306,0.59015,0.63136,0.56481,0.39589,0.628,0.93854,0.005644,0.005644,0.005644
24,9463.14,0.53686,0.74191,1.03603,0.68399,0.57846,0.61573,0.55116,0.39096,0.62622,0.93781,0.005446,0.005446,0.005446
25,9845.77,0.52714,0.72952,1.02858,0.69405,0.59817,0.62309,0.56092,0.38693,0.62585,0.93327,0.005248,0.005248,0.005248
26,10228.1,0.51886,0.72665,1.02553,0.73145,0.57297,0.62405,0.56398,0.38396,0.61799,0.93376,0.00505,0.00505,0.00505
27,10611.5,0.51722,0.71612,1.02369,0.73407,0.58214,0.62325,0.56143,0.38575,0.62117,0.93281,0.004852,0.004852,0.004852
28,10995.1,0.50795,0.69703,1.01898,0.71671,0.60157,0.63285,0.56672,0.38021,0.61122,0.92714,0.004654,0.004654,0.004654
29,11377.8,0.50356,0.68955,1.01321,0.69761,0.59568,0.63469,0.56817,0.37595,0.59985,0.92312,0.004456,0.004456,0.004456
30,11760.5,0.49782,0.68975,1.01095,0.72712,0.59445,0.63344,0.57176,0.37662,0.60029,0.92363,0.004258,0.004258,0.004258
31,12142.2,0.49503,0.68171,1.00878,0.71909,0.60141,0.63758,0.57602,0.37266,0.59773,0.92208,0.00406,0.00406,0.00406
32,12524.4,0.48417,0.66528,1.00431,0.7298,0.58728,0.64175,0.57935,0.37017,0.59278,0.92265,0.003862,0.003862,0.003862
33,12918.7,0.47973,0.65169,1.00264,0.71758,0.6067,0.64326,0.5821,0.3703,0.59673,0.92149,0.003664,0.003664,0.003664
34,13306.8,0.47495,0.65137,0.99904,0.73114,0.61864,0.65025,0.5868,0.36914,0.5887,0.92204,0.003466,0.003466,0.003466
35,13712.7,0.47129,0.6381,0.9982,0.70503,0.64014,0.65465,0.587,0.36747,0.58249,0.92268,0.003268,0.003268,0.003268
36,14106.5,0.46338,0.62995,0.9962,0.75986,0.57116,0.65708,0.5876,0.36408,0.58449,0.92216,0.00307,0.00307,0.00307
